country,index,value
United Arab Emirates,WMG.new,26.8
North Macedonia,WMG.new,72.1
Chile,WMG.new,65.7
Serbia,WMG.new,44.7
Brunei Darussalam,WMG.new,42.5
Kuwait,WMG.new,0.0
Jordan,WMG.new,43.1
Belarus,WMG.new,77.5
Colombia,WMG.new,100.0
Mexico,WMG.new,74.3
Costa Rica,WMG.new,64.8
Armenia,WMG.new,0.0
Argentina,WMG.new,44.6
Brazil,WMG.new,65.8
Ecuador,WMG.new,53.6
Bahrain,WMG.new,60.4
Russia,WMG.new,3.2
Venezuela,WMG.new,0.0
Ukraine,WMG.new,73.1
Uruguay,WMG.new,48.9
Albania,WMG.new,0.0
Antigua and Barbuda,WMG.new,75.1
Cuba,WMG.new,25.9
Saint Vincent and the Grenadines,WMG.new,72.8
Jamaica,WMG.new,31.7
Iran,WMG.new,19.0
Malaysia,WMG.new,81.4
Trinidad and Tobago,WMG.new,10.4
Panama,WMG.new,42.0
Tunisia,WMG.new,39.6
Azerbaijan,WMG.new,0.0
Paraguay,WMG.new,35.0
Montenegro,WMG.new,5.3
Dominican Republic,WMG.new,5.7
Gabon,WMG.new,0.0
Barbados,WMG.new,67.2
Thailand,WMG.new,32.9
Bosnia and Herzegovina,WMG.new,27.9
Lebanon,WMG.new,61.4
Suriname,WMG.new,0.0
Tonga,WMG.new,27.2
Mauritius,WMG.new,98.0
Algeria,WMG.new,91.6
Kazakhstan,WMG.new,2.2
Dominica,WMG.new,62.4
Moldova,WMG.new,13.8
Uzbekistan,WMG.new,0.0
Bolivia,WMG.new,31.1
Peru,WMG.new,30.0
Saudi Arabia,WMG.new,61.4
Turkmenistan,WMG.new,59.2
Bahamas,WMG.new,0.0
Egypt,WMG.new,16.3
El Salvador,WMG.new,55.5
Grenada,WMG.new,78.8
South Africa,WMG.new,77.0
Saint Lucia,WMG.new,77.5
Turkey,WMG.new,48.5
Morocco,WMG.new,39.6
Belize,WMG.new,17.0
Georgia,WMG.new,0.0
Botswana,WMG.new,0.7
Namibia,WMG.new,4.2
Kyrgyzstan,WMG.new,0.0
Iraq,WMG.new,0.0
Bhutan,WMG.new,59.7
Nicaragua,WMG.new,11.4
Sri Lanka,WMG.new,4.4
Oman,WMG.new,0.0
Philippines,WMG.new,17.4
Malawi,WMG.new,0.0
Burkina Faso,WMG.new,10.2
Tajikistan,WMG.new,0.0
Equatorial Guinea,WMG.new,0.0
Indonesia,WMG.new,49.8
Honduras,WMG.new,40.3
Kiribati,WMG.new,0.0
Sao Tome and Principe,WMG.new,0.0
China,WMG.new,51.8
